,precision,recall,f1-score,support
billing_and_payments,0.7463556851311953,0.7052341597796143,0.7252124645892352,363.0
customer_service,0.3830227743271222,0.3451492537313433,0.3631010794896958,536.0
general_inquiry,0.2079207920792079,0.4117647058823529,0.27631578947368424,51.0
human_resources,0.25190839694656486,0.4782608695652174,0.33,69.0
it_support,0.37279596977329976,0.34823529411764703,0.36009732360097324,425.0
product_support,0.430062630480167,0.3097744360902256,0.36013986013986016,665.0
returns_and_exchanges,0.26907630522088355,0.3806818181818182,0.31529411764705884,176.0
sales_and_pre_sales,0.2564102564102564,0.46296296296296297,0.33003300330033003,108.0
service_outages_and_maintenance,0.47692307692307695,0.6595744680851063,0.5535714285714286,141.0
technical_support,0.5171717171717172,0.4975704567541302,0.5071817731550272,1029.0
accuracy,0.44092057255122086,0.44092057255122086,0.44092057255122086,0.44092057255122086
macro avg,0.3911647604463491,0.4599208425150418,0.4120946839967293,3563.0
weighted avg,0.455545463142664,0.44092057255122086,0.44298336320694925,3563.0
