threshold,auto_triage_count,human_review_count,auto_triage_rate,human_review_rate,accuracy_on_auto_triaged,macro_f1_on_auto_triaged,high_risk_auto_triaged_count
0.5,105,3458,0.0295,0.9705,0.7714,0.5408,0
0.55,68,3495,0.0191,0.9809,0.8235,0.4743,0
0.6,51,3512,0.0143,0.9857,0.9412,0.5726,0
0.65,36,3527,0.0101,0.9899,0.9722,0.493,0
0.7,19,3544,0.0053,0.9947,1.0,1.0,0
0.75,6,3557,0.0017,0.9983,1.0,1.0,0
0.8,1,3562,0.0003,0.9997,1.0,1.0,0
0.85,0,3563,0.0,1.0,,,0
0.9,0,3563,0.0,1.0,,,0
0.95,0,3563,0.0,1.0,,,0
